lab_id,name,city,country,country_old
110,"Accredited Testing Laboratory for Environmental-, GMO - and Fuel Analysis",Vienna,AT,Austria
111,LEESU,Paris,FR,France
112,LPTC Bordeaux University,Bordeaux,FR,France
113,Dublin,,,
114,"Department of Chemistry 'Ugo Schiff', Sesto Fiorentino",Florence,IT,Italy
115,Organic environmental chemistry,,,
116,Sector for laboratory diagnostic and radiation protection,Podgorica,ME,Montenegro
117,Fraunhofer Institute for Molecular Biology and Applied Ecology,Schmallenberg,DE,Germany
118,University of Florence,Florence,IT,Italy
119,UKCEH Lancaster,Lancaster,GB,United Kingdom
120,Environmental Reference Laboratory,,,
121,Sciensano,Brussels,BE,Belgium
122,TU Wien E226.1,Vienna,AT,Austria
123,ARPA VENETO,Verona,IT,Italy
124,Eurofins,,,
