"ss_id","ss_abbreviation","ss_description","ss_order","ss_show"
"S68","HSDBTPS","Transformation Products Extracted from HSDB Content in PubChem","68","1"
"S69","LUXPEST","Pesticide Screening List for Luxembourg","69","1"
"S70","EISUSGCEIMS","Environmental Institute GC-EI-MS suspect list","70","1"
"X1","UBA","UBA_20210309_All_Substances_ICSneu_JS","0","0"
"X2","PFAS","PFAS sub-categorization_030521","0","0"
"X3","NORMAN","NORMAN list of substances_130415","0","0"
"X4","Use Category Nikiforos","Use Category Nikiforos 0521","0","0"
"X5","ANTIBIOTICS","ANTIBIOTICS_list_26.05.2017_update20.05.2021_JS","0","0"
"X6","UoA Target List","UoA_Target List_05022020+Class07072020","0","0"
"X7","Danube EWW","Danube EWW study_chemical categories","0","0"
"X8","EUBIOCIDES","EUBIOCIDES_26072018_HR_27072018","0","0"
"S74","REFTPS","Transformation Products and Reactions from Literature","74","1"
"S75","CYANOMETDB","Comprehensive database of secondary metabolites from cyanobacteria","75","1"
"S78","SLUPESTTPS","Pesticides and TPs from SLU, Sweden","78","1"
"S79","UACCSCEC","Collision Cross Section (CCS) Library from UAntwerp","79","1"
"S80","PFASGLUEGE","Overview of PFAS Uses","80","1"
"S81","THSTPS","Thirdhand Smoke Specific Metabolites","81","1"
"S83","CCL5","Contaminant Candidate List CCL 5 (Draft)","83","1"
"S85","MICROCYSTINS","MICROCYSTINS from CyanoMetDB","85","1"
"S86","TATTOOINK","TATTOOINK as per EU regulation 2020/2081","86","1"
"S71","CECSCREEN","HBM4EU CECscreen: Screening List for Chemicals of Emerging Concern Plus Metadata and Predicted Phase 1 Metabolites ","71","1"
"S72","NTUPHTW","Pharmaceutically Active Substances Suspect List from National Taiwan University","72","1"
"S73","METXBIODB","Metabolite Reaction Database from BioTransformer","73","1"
"S76","LUXPHARMA","Pharmaceuticals Marketed in Luxembourg","76","1"
"S77","FCCDB","Food Contact Chemicals Database v5.0","77","1"
"S82","EAWAGPMT","PMT Suspect List from Eawag","82","1"
"S84","UFZHSFPMT","PMT Suspect List from UFZ and HSF","84","1"
"S87","CHLORINETPS","List of chlorination byproducts of 137 CECs and small disinfection byproducts","87","1"
"S88","UBABIOCIDES","List of Prioritized Biocides from UBA","88","1"
"S89","PRORISKPFAS","List of PFAS Compiled from NORMAN SusDat","89","1"
"S90","ZEROPMBOX1","ZeroPM Box 1 Substances","90","1"
"S91","CECTOYS","Chemicals of Emerging Concern (CECs) in plastic toys","91","1"
"S92","FLUOROPHARMA","List of 340 ATC classified fluoro-pharmaceuticals","92","1"
"S93","CECMOUTHING","Chemicals of Emerging Concern (CECs) in children's mouthing exposure","93","1"
"S94","FLUOROPEST","List of 423 FRAC/HRAC/IRAC classified fluoro-agrochemicals","94","1"
"S95","PFASANEXCH","PFAS List from the NORMAN PFAS Analytical Exchange Activity","95","1"
"S96","ECIPFAS","Updatable List to add PFAS Structures to Public Resources from ECI (UniLu)","96","1"
"S97","UBABPAALT","List of Bisphenol A Alternatives from UBA","97","1"
"S98","TIRECHEM","Tire-Related Chemicals in Environment from Literature","98","1"
"S99","ANSESEDC","List of potential endocrine disrupting compounds (EDCs) from ANSES","99","1"
"S100","PFASREACH","List of PFAS identified in REACH 2019","100","1"
"S101","MTMDUST","List of chemicals characterised in indoor dust samples","101","1"
"S102","PARCPFAS","List of PFAS from PARC WP4","102","1"
"S103","NORMANUVCB","NORMAN Dataset of Curated UVCB Mappings","103","1"
"S104","UKVETMED","UK Veterinary Medicines Directorate's List","104","1"
"S105","P65CHEM","Californian Proposition 65 warning list of chemicals","105","1"
"S106","AQUAlity19","EU AQUAlity's water analysis list 2019","106","1"
"S107","AQUAlity20","EU AQUAlity's water analysis list 2020","107","1"
"S108","SINLIST","SIN (Substitute It Now) list of hazardous chemicals by ChemSec","108","1"
"S111","PMTPFAS","Fluorine-containing Compounds in PMT Suspect Lists","111","1"
"S109","PARCEDC","List of 7074 potential endocrine disrupting compounds (EDCs) by PARC T4.2","109","1"
"S110","DUTCHUSE","Dutch Prioritized Chemical Use Categories","110","1"
"S112","FCCMIGEX","List of Migrating & Extractable Food Contact Chemicals (FCCmigex) by FPF","112","1"
"S113","SWISSPHARMA24","2024 Swiss Pharmaceutical List with Metabolites","113","1"
"S114","SLUAMTPS","Antimicrobial Transformation Products from SLU","114","1"
"S115","EIEQSDWLGC","EQS Directive and Watch List for GC from Environmental Institute","115","1"
"S116","REFCCS","Collision Cross Section (CCS) Values from Literature","116","1"
