id,id_new,organisation_name_en,city,country_old,acronym,country
354,48,Waterschap Zuiderzeeland,,NL,,156
358,49,Bassin Adour Garonne,,FR,,74
359,50,AGENCE DE L'EAU Rhône-Méditerranée et de Corse,Lyon,FR,,74
360,51,Bavarian Environment Agency,Augsburg,DE,LFU,81
361,52,AGENCE DE L'EAU LOIRE-BRETAGNE,,FR,,74
362,53,"European Commission, DG Joint Research Centre, Institute for Environment and Sustainability",Ispra,IT,JRC - Ispra,109
363,54,"Povodi Moravy, s.p.",Brno,CZ,PM,58
364,55,Federal Institute for Materials Research and Testing,Berlin,DE,BAM,81
365,56,Croatian Waters,Zagreb,HR,,55
366,57,Zweckverband Landeswasserversorgung Betriebs- und Forschungslabor,Langenau,DE,ZLBF - LW,81
367,58,Informatiehuis Water,Amersfoort,NL,,156
368,59,"Sächsisches Landesamt für Umwelt, Landwirtschaft und Geologie",,DE,,81
369,60,Seine-Normandy Water Agency,,FR,,74
370,61,CSIC-IDAEA / ICRA,,ES,,205
371,62,CSIC-IDAEA,,ES,,205
372,63,University of Valencia,,ES,UV,205
373,64,Spanish National Research Council - Institute of Environmental Assessment and Water Research,,ES,CSIC,205
374,65,IRB+NIVA - Rudjer Boskovic Institute,Zagreb,HR,,55
375,66,Helmholtz Centre for Environmental Analysis,Leipzig,DE,UFZ,81
376,67,UBAAT - Umweltbundesamt GmbH,Vienna,AT,,15
377,68,IBISS - Institute for Biological Research 'Sinisa Stankovic',Belgrade,RS,,195
378,69,ZLBF - LW Langenau,,,,
379,70,UNI Umea - Umeå University,Umeå,SE,,211
380,71,National and Kapodistrian University of Athens,Athens,GR,,84
381,72,LLC Center for Ecotoxicological Research Podgorica,Podgorica,ME,,148
382,73,UA-Ukrainian scientific center of Ecology of Sea (UkrSCES),Odessa,UA,,229
383,74,National and Kapodistrian University of Athens,Athens,GR,,84
384,75,European Commission Joint Research Centre,Ispra,IT,,109
385,76,AQ-BIOS,Bratislava,SK,,199
386,77,"The National Laboratory of Health, Environment and Food",Maribor,SI,,200
387,78,Norwegian Environment Agency,Trondheim,NO,,166
388,79,COSMETEAU,Paris,FR,,74
389,80,REMPAR,Arcachon,FR,,74
390,81,Regard,Bordeaux,FR,,74
391,82,Seneur,Fort-de-France,FR,,74
392,83,Environmental Protection Agency,Dublin,IE,,106
396,84,Rijkswaterstaat,,NL,,156
397,85,"Waterschap Amstel, Gooi en Vecht",Amsterdam,NL,,156
398,86,Waterschap Drents Overijsselse Delta,Zwolle,NL,,156
399,87,Waterschap Limburg,Roermond,NL,,156
400,88,Waterschap Scheldestromen,Middelburg,NL,,156
401,89,Waterschap Vechtstromen,Almelo,NL,,156
402,90,RIWA-Maas,Rotterdam,NL,,156
403,91,University of Florence,Florence,IT,,109
404,92,Helmholtz-Zentrum Hereon,Geesthacht,DE,,81
405,93,Environmental Reference Laboratory,Ankara,TR,ERL,224
406,94,INBO,Brussels,BE,INBO,22
407,95,TU Wien E226.1,Vienna,AT,,15
408,96,ARPA VENETO,Padova,IT,,109
409,97,"OVAM, Public Waste Agency in the region of Flanders",Mechelen,BE,OVAM,22
410,98,"VMM, Flemish environment agency",Aalst,BE,VMM,22
